uniek_id,gml_id,gml_parent_id,gml_parent_property,geometrie,gid,identificatie,oppervlakte,status,gebruiksdoel,openbare_ruimte,huisnummer,huisletter,toevoeging,postcode,woonplaats,bouwjaar,pandidentificatie,pandstatus,rdf_seealso,fme_geometry,gml_pointProperty,gml_multiPointProperty,fme_geometry_0_,fme_geometry_1_,fme_geometry_2_,Straat,Huisnummer,Postcode
pizarrolaan9  ,verblijfsobject.bag:0344010000019048,,member,,3539597,0344010000019048,95,Verblijfsobject in gebruik,woonfunctie,Pizarrolaan,9,,,3526TX,Utrecht,1964,0344100000038233,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000019048,fme_point,,,,,,Pizarrolaan,9,3526 TX
sartreweg76  ,verblijfsobject.bag:0344010000027407,,member,,6624576,0344010000027407,74,Verblijfsobject in gebruik,woonfunctie,Sartreweg,76,,,3573PN,Utrecht,1991,0344100000006256,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000027407,fme_point,,,,,,Sartreweg,76,3573 PN
lippizanerhof2  ,verblijfsobject.bag:0344010000178189,,member,,6715601,0344010000178189,124,Verblijfsobject in gebruik,woonfunctie,Lippizanerhof,2,,,3573SP,Utrecht,2017,0344100000143838,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000178189,fme_point,,,,,,Lippizanerhof,2,3573 SP
fernandezlaan71  ,verblijfsobject.bag:0344010000009326,,member,,3525457,0344010000009326,146,Verblijfsobject in gebruik,woonfunctie,Fernandezlaan,71,,,3526GW,Utrecht,1963,0344100000030404,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000009326,fme_point,,,,,,Fernandezlaan,71,3526 GW
marco pololaan210  ,verblijfsobject.bag:0344010000022002,,member,,3541117,0344010000022002,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,210,,,3526GN,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000022002,fme_point,,,,,,Marco Pololaan,210,3526 GN
stanleylaan267  ,verblijfsobject.bag:0344010000139204,,member,,3542474,0344010000139204,98,Verblijfsobject in gebruik,woonfunctie,Stanleylaan,267,,,3526TG,Utrecht,1963,0344100000020198,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000139204,fme_point,,,,,,Stanleylaan,267,3526 TG
marco pololaan234  ,verblijfsobject.bag:0344010000038634,,member,,3553173,0344010000038634,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,234,,,3526GN,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000038634,fme_point,,,,,,Marco Pololaan,234,3526 GN
marco pololaan150  ,verblijfsobject.bag:0344010000021977,,member,,6621376,0344010000021977,89,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,150,,,3526GM,Utrecht,1963,0344100000039649,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000021977,fme_point,,,,,,Marco Pololaan,150,3526 GM
cabotolaan5  ,verblijfsobject.bag:0344010000010925,,member,,3528852,0344010000010925,110,Verblijfsobject in gebruik,woonfunctie,Cabotolaan,5,,,3526EX,Utrecht,1988,0344100000018389,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000010925,fme_point,,,,,,Cabotolaan,5,3526 EX
marco pololaan203  ,verblijfsobject.bag:0344010000021997,,member,,3541112,0344010000021997,75,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,203,,,3526GC,Utrecht,1956,0344100000051676,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000021997,fme_point,,,,,,Marco Pololaan,203,3526 GC
marco pololaan313  ,verblijfsobject.bag:0344010000115009,,member,,3545265,0344010000115009,75,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,313,,,3526GE,Utrecht,1956,0344100000051676,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000115009,fme_point,,,,,,Marco Pololaan,313,3526 GE
marco pololaan315  ,verblijfsobject.bag:0344010000038048,,member,,3560969,0344010000038048,75,Verblijfsobject in gebruik,woonfunctie,Marco Pololaan,315,,,3526GE,Utrecht,1956,0344100000051676,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000038048,fme_point,,,,,,Marco Pololaan,315,3526 GE
aquamarijnlaan278  ,verblijfsobject.bag:0344010000121837,,member,,3519035,0344010000121837,88,Verblijfsobject in gebruik,woonfunctie,Aquamarijnlaan,278,,,3523ER,Utrecht,1957,0344100000013009,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000121837,fme_point,,,,,,Aquamarijnlaan,278,3523 ER
aquamarijnlaan288  ,verblijfsobject.bag:0344010000000143,,member,,3519038,0344010000000143,90,Verblijfsobject in gebruik,woonfunctie,Aquamarijnlaan,288,,,3523ER,Utrecht,1957,0344100000013009,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000143,fme_point,,,,,,Aquamarijnlaan,288,3523 ER
auriollaan57  ,verblijfsobject.bag:0344010000135263,,member,,3519305,0344010000135263,86,Verblijfsobject in gebruik,woonfunctie,Auriollaan,57,,,3527ES,Utrecht,1960,0344100000052267,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135263,fme_point,,,,,,Auriollaan,57,3527 ES
agavedreef31  ,verblijfsobject.bag:0344010000000894,,member,,3519388,0344010000000894,118,Verblijfsobject in gebruik,woonfunctie,Agavedreef,31,,,3563EJ,Utrecht,1968,0344100000032748,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000894,fme_point,,,,,,Agavedreef,31,3563 EJ
agavedreef41  ,verblijfsobject.bag:0344010000133214,,member,,3519397,0344010000133214,64,Verblijfsobject in gebruik,woonfunctie,Agavedreef,41,,,3563EJ,Utrecht,1968,0344100000032748,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000133214,fme_point,,,,,,Agavedreef,41,3563 EJ
agavedreef70  ,verblijfsobject.bag:0344010000000919,,member,,3519415,0344010000000919,95,Verblijfsobject in gebruik,woonfunctie,Agavedreef,70,,,3563EN,Utrecht,1968,0344100000030101,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000919,fme_point,,,,,,Agavedreef,70,3563 EN
thinsstraat1 a ,verblijfsobject.bag:0344010000000755,,member,,3519522,0344010000000755,73,Verblijfsobject in gebruik,woonfunctie,Thinsstraat,1,A,,3581EP,Utrecht,1910,0344100000035953,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000755,fme_point,,,,,,Thinsstraat,1 A,3581 EP
trans29  ,verblijfsobject.bag:0344010000000765,,member,,3519529,0344010000000765,115,Verblijfsobject in gebruik,woonfunctie,Trans,29,,,3512JJ,Utrecht,1890,0344100000061388,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000765,fme_point,,,,,,Trans,29,3512 JJ
twijnstraat aan de werf1 h ,verblijfsobject.bag:0344010000135590,,member,,3519550,0344010000135590,180,Verblijfsobject in gebruik,woonfunctie,Twijnstraat aan de Werf,1,H,,3511ZE,Utrecht,1850,0344100000032811,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135590,fme_point,,,,,,Twijnstraat aan de Werf,1 H,3511 ZE
twijnstraat aan de werf1 j ,verblijfsobject.bag:0344010000000782,,member,,3519551,0344010000000782,243,Verblijfsobject in gebruik,"kantoorfunctie, woonfunctie",Twijnstraat aan de Werf,1,J,,3511ZE,Utrecht,1450,0344100000040159,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000782,fme_point,,,,,,Twijnstraat aan de Werf,1 J,3511 ZE
doelenstraat3 a ,verblijfsobject.bag:0344010000135173,,member,,3519602,0344010000135173,34,Verblijfsobject in gebruik,woonfunctie,Doelenstraat,3,A,,3512XJ,Utrecht,1986,0344100000049934,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135173,fme_point,,,,,,Doelenstraat,3 A,3512 XJ
domstraat7 a ,verblijfsobject.bag:0344010000001314,,member,,3519606,0344010000001314,35,Verblijfsobject in gebruik,woonfunctie,Domstraat,7,A,,3512JA,Utrecht,1924,0344100000073437,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001314,fme_point,,,,,,Domstraat,7 A,3512 JA
androsdreef150  ,verblijfsobject.bag:0344010000121997,,member,,3519707,0344010000121997,100,Verblijfsobject in gebruik,woonfunctie,Androsdreef,150,,,3562XE,Utrecht,1966,0344100000020517,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000121997,fme_point,,,,,,Androsdreef,150,3562 XE
jeremiestraat10  ,verblijfsobject.bag:0344010000135563,,member,,3519728,0344010000135563,58,Verblijfsobject in gebruik,woonfunctie,Jeremiestraat,10,,,3511TW,Utrecht,1988,0344100000037905,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135563,fme_point,,,,,,Jeremiestraat,10,3511 TW
nachtegaalstraat11 a ,verblijfsobject.bag:0344010000000478,,member,,3519795,0344010000000478,110,Verblijfsobject in gebruik (niet ingemeten),woonfunctie,Nachtegaalstraat,11,A,,3581AA,Utrecht,1870,0344100000076139,Pand in gebruik (niet ingemeten),http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000000478,fme_point,,,,,,Nachtegaalstraat,11 a,3581 AA
oranjehof44  ,verblijfsobject.bag:0344010000135105,,member,,3519850,0344010000135105,90,Verblijfsobject in gebruik,woonfunctie,Oranjehof,44,,,3511RZ,Utrecht,1989,0344100000042786,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135105,fme_point,,,,,,Oranjehof,44,3511 RZ
adenauerlaan125  ,verblijfsobject.bag:0344010000001178,,member,,3519947,0344010000001178,40,Verblijfsobject in gebruik,woonfunctie,Adenauerlaan,125,,,3527RC,Utrecht,1960,0344100000074145,Pand in gebruik (niet ingemeten),http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001178,fme_point,,,,,,Adenauerlaan,125,3527 RC
oudegracht317 a ,verblijfsobject.bag:0344010000001757,,member,,3520158,0344010000001757,124,Verblijfsobject in gebruik,woonfunctie,Oudegracht,317,A,,3511PB,Utrecht,1450,0344100000081214,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001757,fme_point,,,,,,Oudegracht,317 a,3511 PB
ardennen3  ,verblijfsobject.bag:0344010000001264,,member,,3520405,0344010000001264,65,Verblijfsobject in gebruik,woonfunctie,Ardennen,3,,,3524VC,Utrecht,1978,0344100000074124,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001264,fme_point,,,,,,Ardennen,3,3524 VC
ardennen5  ,verblijfsobject.bag:0344010000122153,,member,,3520406,0344010000122153,58,Verblijfsobject in gebruik,woonfunctie,Ardennen,5,,,3524VC,Utrecht,1978,0344100000074124,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000122153,fme_point,,,,,,Ardennen,5,3524 VC
ardennen25  ,verblijfsobject.bag:0344010000001300,,member,,3520441,0344010000001300,144,Verblijfsobject in gebruik,woonfunctie,Ardennen,25,,,3524VC,Utrecht,1977,0344100000056505,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001300,fme_point,,,,,,Ardennen,25,3524 VC
antillen20  ,verblijfsobject.bag:0344010000001857,,member,,3520650,0344010000001857,140,Verblijfsobject in gebruik,woonfunctie,Antillen,20,,,3524EZ,Utrecht,1979,0344100000063372,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000001857,fme_point,,,,,,Antillen,20,3524 EZ
richard wagnerlaan22  ,verblijfsobject.bag:0344010000002013,,member,,3520769,0344010000002013,295,Verblijfsobject in gebruik,woonfunctie,Richard Wagnerlaan,22,,,3533GD,Utrecht,1923,0344100000055823,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002013,fme_point,,,,,,Richard Wagnerlaan,22,3533 GD
ameland60  ,verblijfsobject.bag:0344010000002150,,member,,3521224,0344010000002150,93,Verblijfsobject in gebruik,woonfunctie,Ameland,60,,,3524AL,Utrecht,1982,0344100000038481,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002150,fme_point,,,,,,Ameland,60,3524 AL
ameland64  ,verblijfsobject.bag:0344010000002153,,member,,3521227,0344010000002153,93,Verblijfsobject in gebruik,woonfunctie,Ameland,64,,,3524AL,Utrecht,1982,0344100000038481,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002153,fme_point,,,,,,Ameland,64,3524 AL
baanstraat13 b ,verblijfsobject.bag:0344010000002635,,member,,3521390,0344010000002635,49,Verblijfsobject in gebruik,woonfunctie,Baanstraat,13,B,,3581VS,Utrecht,2007,0344100000028719,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002635,fme_point,,,,,,Baanstraat,13 B,3581 VS
nicolaas beetsstraat112  ,verblijfsobject.bag:0344010000119640,,member,,3521402,0344010000119640,64,Verblijfsobject in gebruik,woonfunctie,Nicolaas Beetsstraat,112,,,3511HG,Utrecht,1992,0344100000071392,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000119640,fme_point,,,,,,Nicolaas Beetsstraat,112,3511 HG
riouwstraat13 a ,verblijfsobject.bag:0344010000134090,,member,,3521590,0344010000134090,70,Verblijfsobject in gebruik,woonfunctie,Riouwstraat,13,A,,3531CT,Utrecht,1918,0344100000081569,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000134090,fme_point,,,,,,Riouwstraat,13 A,3531 CT
leidseweg134  ,verblijfsobject.bag:0344010000002376,,member,,3521758,0344010000002376,79,Verblijfsobject in gebruik,woonfunctie,Leidseweg,134,,,3533HD,Utrecht,1990,0344100000040024,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002376,fme_point,,,,,,Leidseweg,134,3533 HD
leidseweg139  ,verblijfsobject.bag:0344010000002380,,member,,3521763,0344010000002380,107,Verblijfsobject in gebruik,woonfunctie,Leidseweg,139,,,3533HD,Utrecht,1990,0344100000040024,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002380,fme_point,,,,,,Leidseweg,139,3533 HD
leidseweg180  ,verblijfsobject.bag:0344010000002874,,member,,3521786,0344010000002874,107,Verblijfsobject in gebruik,woonfunctie,Leidseweg,180,,,3533HD,Utrecht,1990,0344100000040024,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002874,fme_point,,,,,,Leidseweg,180,3533 HD
leidseweg186  ,verblijfsobject.bag:0344010000002879,,member,,3521790,0344010000002879,79,Verblijfsobject in gebruik,woonfunctie,Leidseweg,186,,,3533HD,Utrecht,1990,0344100000040024,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002879,fme_point,,,,,,Leidseweg,186,3533 HD
aardbeistraat47  ,verblijfsobject.bag:0344010000003050,,member,,3521902,0344010000003050,75,Verblijfsobject in gebruik,woonfunctie,Aardbeistraat,47,,,3552GD,Utrecht,1979,0344100000007728,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003050,fme_point,,,,,,Aardbeistraat,47,3552 GD
arnodreef58  ,verblijfsobject.bag:0344010000003066,,member,,3521923,0344010000003066,71,Verblijfsobject in gebruik,woonfunctie,Arnodreef,58,,,3561GN,Utrecht,1965,0344100000039822,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003066,fme_point,,,,,,Arnodreef,58,3561 GN
arnodreef108  ,verblijfsobject.bag:0344010000003086,,member,,3521943,0344010000003086,71,Verblijfsobject in gebruik,woonfunctie,Arnodreef,108,,,3561GR,Utrecht,1965,0344100000039822,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003086,fme_point,,,,,,Arnodreef,108,3561 GR
asserlaan17  ,verblijfsobject.bag:0344010000134716,,member,,3521989,0344010000134716,108,Verblijfsobject in gebruik,woonfunctie,Asserlaan,17,,,3527VZ,Utrecht,1962,0344100000068441,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000134716,fme_point,,,,,,Asserlaan,17,3527 VZ
asserlaan24  ,verblijfsobject.bag:0344010000134717,,member,,3521993,0344010000134717,90,Verblijfsobject in gebruik,woonfunctie,Asserlaan,24,,,3527VZ,Utrecht,1962,0344100000021031,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000134717,fme_point,,,,,,Asserlaan,24,3527 VZ
gildstraat173  ,verblijfsobject.bag:0344010000003729,,member,,3522028,0344010000003729,81,Verblijfsobject in gebruik,woonfunctie,Gildstraat,173,,,3572EM,Utrecht,1915,0344100000053716,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003729,fme_point,,,,,,Gildstraat,173,3572 EM
arthur van schendelstraat72  ,verblijfsobject.bag:0344010000003769,,member,,3522061,0344010000003769,138,Verblijfsobject in gebruik,woonfunctie,Arthur van Schendelstraat,72,,,3511ME,Utrecht,1991,0344100000023066,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003769,fme_point,,,,,,Arthur van Schendelstraat,72,3511 ME
arthur van schendelstraat80  ,verblijfsobject.bag:0344010000003771,,member,,3522063,0344010000003771,125,Verblijfsobject in gebruik,woonfunctie,Arthur van Schendelstraat,80,,,3511ME,Utrecht,1991,0344100000023066,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003771,fme_point,,,,,,Arthur van Schendelstraat,80,3511 ME
arthur van schendelstraat132  ,verblijfsobject.bag:0344010000135386,,member,,3522074,0344010000135386,156,Verblijfsobject in gebruik,woonfunctie,Arthur van Schendelstraat,132,,,3511MG,Utrecht,1991,0344100000023066,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135386,fme_point,,,,,,Arthur van Schendelstraat,132,3511 MG
leidseweg202  ,verblijfsobject.bag:0344010000119647,,member,,3522247,0344010000119647,76,Verblijfsobject in gebruik,woonfunctie,Leidseweg,202,,,3533HD,Utrecht,1990,0344100000040024,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000119647,fme_point,,,,,,Leidseweg,202,3533 HD
amerhof102  ,verblijfsobject.bag:0344010000002801,,member,,3522310,0344010000002801,108,Verblijfsobject in gebruik,woonfunctie,Amerhof,102,,,3522TR,Utrecht,1992,0344100000058916,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000002801,fme_point,,,,,,Amerhof,102,3522 TR
apennijnen27  ,verblijfsobject.bag:0344010000003242,,member,,3522390,0344010000003242,61,Verblijfsobject in gebruik,woonfunctie,Apennijnen,27,,,3524DK,Utrecht,1979,0344100000035697,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003242,fme_point,,,,,,Apennijnen,27,3524 DK
apennijnen31  ,verblijfsobject.bag:0344010000003243,,member,,3522392,0344010000003243,91,Verblijfsobject in gebruik,woonfunctie,Apennijnen,31,,,3524DK,Utrecht,1979,0344100000035697,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003243,fme_point,,,,,,Apennijnen,31,3524 DK
apennijnen79  ,verblijfsobject.bag:0344010000003256,,member,,3522409,0344010000003256,94,Verblijfsobject in gebruik,woonfunctie,Apennijnen,79,,,3524DM,Utrecht,1979,0344100000035697,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003256,fme_point,,,,,,Apennijnen,79,3524 DM
nicolaas beetsstraat154  ,verblijfsobject.bag:0344010000128826,,member,,3522463,0344010000128826,115,Verblijfsobject in gebruik,woonfunctie,Nicolaas Beetsstraat,154,,,3511HG,Utrecht,1992,0344100000071392,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000128826,fme_point,,,,,,Nicolaas Beetsstraat,154,3511 HG
amsterdamsestraatweg57  ,verblijfsobject.bag:0344010000003834,,member,,3522610,0344010000003834,85,Verblijfsobject in gebruik,woonfunctie,Amsterdamsestraatweg,57,,,3513AA,Utrecht,1971,0344100000040398,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003834,fme_point,,,,,,Amsterdamsestraatweg,57,3513 AA
ananasstraat3  ,verblijfsobject.bag:0344010000003868,,member,,3522641,0344010000003868,98,Verblijfsobject in gebruik,woonfunctie,Ananasstraat,3,,,3552TE,Utrecht,1975,0344100000046627,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003868,fme_point,,,,,,Ananasstraat,3,3552 TE
brucknerlaan82  ,verblijfsobject.bag:0344010000003896,,member,,3522664,0344010000003896,75,Verblijfsobject in gebruik,woonfunctie,Brucknerlaan,82,,,3533KG,Utrecht,1960,0344100000055865,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003896,fme_point,,,,,,Brucknerlaan,82,3533 KG
dallasdreef3  ,verblijfsobject.bag:0344010000119825,,member,,3522670,0344010000119825,110,Verblijfsobject in gebruik,woonfunctie,Dallasdreef,3,,,3564KP,Utrecht,1986,0344100000068444,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000119825,fme_point,,,,,,Dallasdreef,3,3564 KP
albert van dalsumlaan215  ,verblijfsobject.bag:0344010000003968,,member,,3522747,0344010000003968,73,Verblijfsobject in gebruik,woonfunctie,Albert van Dalsumlaan,215,,,3584HD,Utrecht,1979,0344100000006450,Pand in gebruik (niet ingemeten),http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003968,fme_point,,,,,,Albert van Dalsumlaan,215,3584 HD
afrikalaan6  ,verblijfsobject.bag:0344010000003443,,member,,3522788,0344010000003443,100,Verblijfsobject in gebruik,woonfunctie,Afrikalaan,6,,,3526VN,Utrecht,1964,0344100000055164,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003443,fme_point,,,,,,Afrikalaan,6,3526 VN
afrikalaan8  ,verblijfsobject.bag:0344010000003445,,member,,3522790,0344010000003445,120,Verblijfsobject in gebruik,woonfunctie,Afrikalaan,8,,,3526VN,Utrecht,1964,0344100000025617,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003445,fme_point,,,,,,Afrikalaan,8,3526 VN
hoefijzerstraat80  ,verblijfsobject.bag:0344010000128828,,member,,3522868,0344010000128828,108,Verblijfsobject in gebruik,woonfunctie,Hoefijzerstraat,80,,,3572BX,Utrecht,1915,0344100000053716,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000128828,fme_point,,,,,,Hoefijzerstraat,80,3572 BX
hoefijzerstraat78  ,verblijfsobject.bag:0344010000003466,,member,,3522867,0344010000003466,115,Verblijfsobject in gebruik,woonfunctie,Hoefijzerstraat,78,,,3572BX,Utrecht,1915,0344100000053716,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003466,fme_point,,,,,,Hoefijzerstraat,78,3572 BX
lepelenburg27  ,verblijfsobject.bag:0344010000135070,,member,,3522887,0344010000135070,78,Verblijfsobject in gebruik,woonfunctie,Lepelenburg,27,,,3512NJ,Utrecht,1987,0344100000066151,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000135070,fme_point,,,,,,Lepelenburg,27,3512 NJ
lepelenburg31  ,verblijfsobject.bag:0344010000003485,,member,,3522888,0344010000003485,93,Verblijfsobject in gebruik,woonfunctie,Lepelenburg,31,,,3512NJ,Utrecht,1987,0344100000066151,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000003485,fme_point,,,,,,Lepelenburg,31,3512 NJ
euterpedreef50  ,verblijfsobject.bag:0344010000133639,,member,,3523238,0344010000133639,42,Verblijfsobject in gebruik,woonfunctie,Euterpedreef,50,,,3561CW,Utrecht,1968,0344100000049244,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000133639,fme_point,,,,,,Euterpedreef,50,3561 CW
albert van dalsumlaan271  ,verblijfsobject.bag:0344010000004281,,member,,3523148,0344010000004281,82,Verblijfsobject in gebruik,woonfunctie,Albert van Dalsumlaan,271,,,3584HE,Utrecht,1979,0344100000043417,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004281,fme_point,,,,,,Albert van Dalsumlaan,271,3584 HE
eisenhowerlaan190  ,verblijfsobject.bag:0344010000004292,,member,,3523157,0344010000004292,83,Verblijfsobject in gebruik,woonfunctie,Eisenhowerlaan,190,,,3527HK,Utrecht,1964,0344100000046053,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004292,fme_point,,,,,,Eisenhowerlaan,190,3527 HK
eisenhowerlaan248  ,verblijfsobject.bag:0344010000004309,,member,,3523171,0344010000004309,72,Verblijfsobject in gebruik,woonfunctie,Eisenhowerlaan,248,,,3527HL,Utrecht,1964,0344100000046053,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004309,fme_point,,,,,,Eisenhowerlaan,248,3527 HL
eisenhowerlaan344  ,verblijfsobject.bag:0344010000004333,,member,,3523197,0344010000004333,60,Verblijfsobject in gebruik,woonfunctie,Eisenhowerlaan,344,,,3527HN,Utrecht,1966,0344100000010011,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004333,fme_point,,,,,,Eisenhowerlaan,344,3527 HN
eisenhowerlaan396  ,verblijfsobject.bag:0344010000004348,,member,,3523218,0344010000004348,87,Verblijfsobject in gebruik,woonfunctie,Eisenhowerlaan,396,,,3527HP,Utrecht,1966,0344100000010011,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004348,fme_point,,,,,,Eisenhowerlaan,396,3527 HP
eisenhowerlaan402  ,verblijfsobject.bag:0344010000004350,,member,,3523220,0344010000004350,87,Verblijfsobject in gebruik,woonfunctie,Eisenhowerlaan,402,,,3527HR,Utrecht,1966,0344100000010011,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004350,fme_point,,,,,,Eisenhowerlaan,402,3527 HR
euterpedreef62  ,verblijfsobject.bag:0344010000004758,,member,,3523244,0344010000004758,74,Verblijfsobject in gebruik,woonfunctie,Euterpedreef,62,,,3561CX,Utrecht,1968,0344100000049244,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000004758,fme_point,,,,,,Euterpedreef,62,3561 CX
