uniek_id,gml_id,gml_parent_id,gml_parent_property,geometrie,gid,identificatie,oppervlakte,status,gebruiksdoel,openbare_ruimte,huisnummer,huisletter,toevoeging,postcode,woonplaats,bouwjaar,pandidentificatie,pandstatus,rdf_seealso,fme_geometry,gml_pointProperty,gml_multiPointProperty,fme_geometry_0_,fme_geometry_1_,fme_geometry_2_,Straat,Huisnummer,Postcode
zandhofsestraat88  ,verblijfsobject.bag:0344010000077803,,member,,6582281,0344010000077803,86,Verblijfsobject in gebruik,woonfunctie,Zandhofsestraat,88,,,3572GK,Utrecht,1890,0344100000015916,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000077803,fme_point,,,,,,Zandhofsestraat,88,3572 GK
zandhofsestraat91  ,verblijfsobject.bag:0344010000077805,,member,,6582283,0344010000077805,106,Verblijfsobject in gebruik,woonfunctie,Zandhofsestraat,91,,,3572GD,Utrecht,1890,0344100000047226,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000077805,fme_point,,,,,,Zandhofsestraat,91,3572 GD
zandhofsestraat94  ,verblijfsobject.bag:0344010000126762,,member,,6582285,0344010000126762,90,Verblijfsobject in gebruik,woonfunctie,Zandhofsestraat,94,,,3572GK,Utrecht,1890,0344100000041235,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000126762,fme_point,,,,,,Zandhofsestraat,94,3572 GK
zandhofsestraat100  ,verblijfsobject.bag:0344010000155053,,member,,6582289,0344010000155053,125,Verblijfsobject in gebruik,woonfunctie,Zandhofsestraat,100,,,3572GK,Utrecht,1890,0344100000014845,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000155053,fme_point,,,,,,Zandhofsestraat,100,3572 GK
topaaslaan13  ,verblijfsobject.bag:0344010000083682,,member,,6582546,0344010000083682,129,Verblijfsobject in gebruik,woonfunctie,Topaaslaan,13,,,3523AX,Utrecht,1998,0344100000075404,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083682,fme_point,,,,,,Topaaslaan,13,3523 AX
einsteindreef83 a ,verblijfsobject.bag:0344010000083451,,member,,6582927,0344010000083451,97,Verblijfsobject in gebruik,woonfunctie,Einsteindreef,83,A,,3562XT,Utrecht,1998,0344100000031288,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083451,fme_point,,,,,,Einsteindreef,83 A,3562 XT
prof. zonnebloemlaan10  ,verblijfsobject.bag:0344010000111998,,member,,6583242,0344010000111998,125,Verblijfsobject in gebruik,woonfunctie,Prof. Zonnebloemlaan,10,,,3571KP,Utrecht,1999,0344100000057773,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000111998,fme_point,,,,,,Prof. Zonnebloemlaan,10,3571 KP
prof. zonnebloemlaan35  ,verblijfsobject.bag:0344010000112000,,member,,6583254,0344010000112000,180,Verblijfsobject in gebruik,woonfunctie,Prof. Zonnebloemlaan,35,,,3571KS,Utrecht,1999,0344100000046249,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000112000,fme_point,,,,,,Prof. Zonnebloemlaan,35,3571 KS
prof. zonnebloemlaan40  ,verblijfsobject.bag:0344010000084061,,member,,6583259,0344010000084061,180,Verblijfsobject in gebruik,woonfunctie,Prof. Zonnebloemlaan,40,,,3571KS,Utrecht,1999,0344100000029309,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084061,fme_point,,,,,,Prof. Zonnebloemlaan,40,3571 KS
westraklaan8  ,verblijfsobject.bag:0344010000084097,,member,,6583292,0344010000084097,136,Verblijfsobject in gebruik,woonfunctie,Westraklaan,8,,,3544RK,Utrecht,1999,0344100000061170,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084097,fme_point,,,,,,Westraklaan,8,3544 RK
westraklaan24  ,verblijfsobject.bag:0344010000111581,,member,,6583301,0344010000111581,136,Verblijfsobject in gebruik,woonfunctie,Westraklaan,24,,,3544RK,Utrecht,1999,0344100000040088,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000111581,fme_point,,,,,,Westraklaan,24,3544 RK
zuid-oostraklaan8  ,verblijfsobject.bag:0344010000084269,,member,,6583304,0344010000084269,151,Verblijfsobject in gebruik,woonfunctie,Zuid-oostraklaan,8,,,3544RJ,Utrecht,1999,0344100000019794,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084269,fme_point,,,,,,Zuid-oostraklaan,8,3544 RJ
mariaplaats31 b ,verblijfsobject.bag:0344010000082911,,member,,6583335,0344010000082911,105,Verblijfsobject in gebruik,woonfunctie,Mariaplaats,31,B,,3511LL,Utrecht,1996,0344100000077604,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082911,fme_point,,,,,,Mariaplaats,31 B,3511 LL
impalastraat35  ,verblijfsobject.bag:0344010000084288,,member,,6583599,0344010000084288,109,Verblijfsobject in gebruik,woonfunctie,Impalastraat,35,,,3523PK,Utrecht,1995,0344100000037324,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084288,fme_point,,,,,,Impalastraat,35,3523 PK
louise kerlinghof4  ,verblijfsobject.bag:0344010000084295,,member,,6583610,0344010000084295,149,Verblijfsobject in gebruik,woonfunctie,Louise Kerlinghof,4,,,3571TR,Utrecht,1995,0344100000002191,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084295,fme_point,,,,,,Louise Kerlinghof,4,3571 TR
louise kerlinghof6  ,verblijfsobject.bag:0344010000125572,,member,,6583612,0344010000125572,70,Verblijfsobject in gebruik,woonfunctie,Louise Kerlinghof,6,,,3571TR,Utrecht,1995,0344100000001163,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000125572,fme_point,,,,,,Louise Kerlinghof,6,3571 TR
louise kerlinghof17  ,verblijfsobject.bag:0344010000084307,,member,,6583623,0344010000084307,70,Verblijfsobject in gebruik,woonfunctie,Louise Kerlinghof,17,,,3571TR,Utrecht,1995,0344100000001163,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084307,fme_point,,,,,,Louise Kerlinghof,17,3571 TR
catharijnesingel101 a ,verblijfsobject.bag:0344010000154374,,member,,6583635,0344010000154374,143,Verblijfsobject in gebruik,woonfunctie,Catharijnesingel,101,A,,3511GV,Utrecht,1995,0344100000028149,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000154374,fme_point,,,,,,Catharijnesingel,101 A,3511 GV
catharijnesingel101 c ,verblijfsobject.bag:0344010000084478,,member,,6583636,0344010000084478,147,Verblijfsobject in gebruik,woonfunctie,Catharijnesingel,101,C,,3511GV,Utrecht,1995,0344100000028149,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084478,fme_point,,,,,,Catharijnesingel,101 C,3511 GV
1e achterstraat4 e ,verblijfsobject.bag:0344010000084486,,member,,6583644,0344010000084486,45,Verblijfsobject in gebruik,woonfunctie,1e Achterstraat,4,E,,3512VL,Utrecht,1995,0344100000007740,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084486,fme_point,,,,,,1e Achterstraat,4 E,3512 VL
grootmeesterplein70  ,verblijfsobject.bag:0344010000082193,,member,,6583775,0344010000082193,132,Verblijfsobject in gebruik,woonfunctie,Grootmeesterplein,70,,,3554EE,Utrecht,1999,0344100000081832,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082193,fme_point,,,,,,Grootmeesterplein,70,3554 EE
