"title","price","sold_at_date"
"Verkocht: Afrikalaan 6 3526 VN Utrecht [funda]","300000","14 mei 2020"
"Verkocht: Nicolaas Ruychaverstraat 91 3554 XP Utrecht [funda]","298000","20 mei 2020"
"Verkocht: Merwedekade 228 Bis A 3522 JM Utrecht [funda]","299000","15 juni 2020"
"Verkocht: Johan de Meesterstraat 51 3532 EJ Utrecht [funda]","350000","25 maart 2020"
"Verkocht: Chrysantstraat 9 3551 TS Utrecht [funda]","309000","18 mei 2020"
"Verkocht: Leidseweg 134 3533 HD Utrecht [funda]","275000",""
"Verkocht: Volkerakstraat 12 3522 RC Utrecht [funda]","375000","26 mei 2020"
"Verkocht: Spaaklaan 87 3527 SC Utrecht [funda]","259000","17 april 2020"
"Verkocht: Smaragdplein 19 3523 EA Utrecht [funda]","225000","16 mei 2020"
"Verkocht: Kapeldwarsweg 4 3566 MP Utrecht [funda]","625000","16 april 2020"
"Verkocht: Johannes Camphuysstraat 1 Bis 3531 SB Utrecht [funda]","400000","19 mei 2020"
"Verkocht: F.C. Dondersstraat 37 3572 JC Utrecht [funda]","1300000","11 april 2020"
"Verkocht: Yokohamadreef 160 3564 XN Utrecht [funda]","295000","11 mei 2020"
"Verkocht: Noltheniusstraat 2 3533 SH Utrecht [funda]","575000","17 april 2020"
"Verkocht: Tulpstraat 66 3581 RN Utrecht [funda]","375000","20 mei 2020"
"Verkocht: Govert Flinckstraat 2 3583 RK Utrecht [funda]","395000","23 mei 2020"
"Verkocht: St.-Bonifaciusstraat 12 3553 SR Utrecht [funda]","425000","23 mei 2020"
"Verkocht: Tankenberg 22 3524 LB Utrecht [funda]","619000","26 mei 2020"
"Verkocht: Ondiep-Zuidzijde 17 3551 BX Utrecht [funda]","175000","17 mei 2020"
"Verkocht: Pretoriadreef 20 3564 BX Utrecht [funda]","310000","18 juni 2020"
"Verkocht: Franz Schubertstraat 21 3533 GS Utrecht [funda]","600000","10 juni 2020"
"Verkocht: Oudenoord 142 3513 EV Utrecht [funda]","200000","12 mei 2020"
"Verkocht: Leo Fallplantsoen 20 3543 HH Utrecht [funda]","584500","17 april 2020"
"Verkocht: Dudoksingel 127 3544 NK Utrecht [funda]","439000","21 april 2020"
"Verkocht: H�ndelstraat 31 3533 GG Utrecht [funda]","600000","16 juni 2020"
"Verkocht: Patmosdreef 114 3562 JP Utrecht [funda]","275000","18 mei 2020"
"Verkocht: Europaplein 860 3526 WS Utrecht [funda]","167500","28 maart 2020"
"Verkocht: Abstederdijk 36 3582 BN Utrecht [funda]","485000","17 juni 2020"
"Verkocht: Stephensonstraat 9 BIS A 3553 GR Utrecht [funda]","299500","19 mei 2020"
"Verkocht: Ramsesdreef 177 3564 CK Utrecht [funda]","325000","18 juni 2020"
"Verkocht: Gansstraat 8 B 3582 EH Utrecht [funda]","400000","20 mei 2020"
"Verkocht: Biltstraat 24 B 3572 BB Utrecht [funda]","419000","19 juni 2020"
"Verkocht: Vlechtdraadhof 30 3525 BS Utrecht [funda]","439000","20 mei 2020"
"Verkocht: Nieuwravenstraat 26 3522 RN Utrecht [funda]","275000","18 mei 2020"
"Verkocht: Van Marumstraat 5 3514 HR Utrecht [funda]","309500","28 mei 2020"
"Verkocht: Von Kleistlaan 1 3 3533 BA Utrecht [funda]","289000","14 mei 2020"
"Verkocht: Livingstonelaan 834 3526 JK Utrecht [funda]","220000","30 mei 2020"
"Verkocht: Laan van Nieuw-Guinea 58 3531 JL Utrecht [funda]","350000","22 mei 2020"
"Verkocht: Prinses Ireneplateau 37 3554 HW Utrecht [funda]","239000","26 mei 2020"
"Verkocht: Euterpedreef 62 3561 CX Utrecht [funda]","200000","16 juni 2020"
"Verkocht: Alblasstraat 27 3522 RP Utrecht [funda]","409000","20 april 2020"
"Verkocht: Verlengde Hoogravenseweg 60 3525 BH Utrecht [funda]","350000","30 april 2020"
"Verkocht: Frederikastraat 21 3572 CR Utrecht [funda]","350000","19 mei 2020"
"Verkocht: Fred Raymondhof 11 3543 HX Utrecht [funda]","499000","17 april 2020"
"Verkocht: Goedestraat 127 3572 RS Utrecht [funda]","475000","19 juni 2020"
"Verkocht: Victor Hugoplantsoen 19 3533 CG Utrecht [funda]","599000","12 juni 2020"
"Verkocht: Vossegatselaan 63 3583 RR Utrecht [funda]","499000","19 januari 2020"
"Verkocht: Lepelenburg 27 3512 NJ Utrecht [funda]","449000","20 mei 2020"
"Verkocht: Bosboom Toussaintstraat 23 3532 VK Utrecht [funda]","525000","18 april 2020"
"Verkocht: Van Humboldtstraat 101 3514 GN Utrecht [funda]","539000","28 april 2020"
"Verkocht: Zacharias Jansenstraat 8 3514 XB Utrecht [funda]","539000","10 april 2020"
"Verkocht: Dommeringdreef 87 3562 AM Utrecht [funda]","195000","25 mei 2020"
"Verkocht: Florijn - Appartementen bnr. 10 3541 GB Utrecht [funda]","225000","19 juni 2020"
"Verkocht: Bakemastraat 39 3544 MT Utrecht [funda]","600000","30 april 2020"
"Verkocht: Prinses Irenelaan 91 3554 HD Utrecht [funda]","550000","18 mei 2020"
"Verkocht: De Wetstraat 9 BIS 3531 AT Utrecht [funda]","450000","16 juni 2020"
"Verkocht: Korfoedreef 143 3562 SJ Utrecht [funda]","195000","21 mei 2020"
"Verkocht: Plantage 162 3551 DK Utrecht [funda]","299000",""
"Verkocht: Vogelvlinderweg 37 3544 NJ Utrecht [funda]","425000","13 mei 2020"
"Verkocht: Karel Doormanlaan 86 3572 NJ Utrecht [funda]","439000","25 mei 2020"
"Verkocht: Benny Goodmanstraat 10 3543 GX Utrecht [funda]","475000","20 mei 2020"
"Verkocht: Burgemeester Norbruislaan 318 3555 EN Utrecht [funda]","210000","28 april 2020"
"Verkocht: Zonstraat 48 3581 MT Utrecht [funda]","365000","14 mei 2020"
"Verkocht: Catharijnesingel 74 E 3511 GM Utrecht [funda]","325000","18 mei 2020"
"Verkocht: Van Eysingalaan 371 3527 VK Utrecht [funda]","245000","30 maart 2020"
"Verkocht: Gerhardstraat 35 3555 WK Utrecht [funda]","279000","15 juni 2020"
"Verkocht: Wibautstraat 23 3555 WE Utrecht [funda]","475000","15 mei 2020"
"Verkocht: Nieuwe Koekoekstraat 91 3514 EC Utrecht [funda]","600000","14 juni 2020"
"Verkocht: Prof. Ritzema Boslaan 131 3571 CP Utrecht [funda]","700000","15 mei 2020"
"Verkocht: Sapoerahof 11 3531 WJ Utrecht [funda]","469500","26 mei 2020"
"Verkocht: Livingstonelaan 870 3526 JL Utrecht [funda]","230000","12 juni 2020"
"Verkocht: Vit�riadreef 12 3563 VW Utrecht [funda]","440000","11 juni 2020"
"Verkocht: Jan van Ransdorpstraat 20 3554 VZ Utrecht [funda]","299000","25 april 2020"
"Verkocht: Mimosastraat 67 3551 DA Utrecht [funda]","309000","13 mei 2020"
"Verkocht: Verlengde Hoogravenseweg 58 3525 BH Utrecht [funda]","339500","12 mei 2020"
"Verkocht: Briljantlaan 120 3523 CJ Utrecht [funda]","225000","14 juni 2020"
"Verkocht: Johan Wagenaarkade 83 I 3533 TM Utrecht [funda]","275000","29 mei 2020"
"Verkocht: Joseph Haydnlaan 34 II 3533 AJ Utrecht [funda]","259000","19 juni 2020"
"Verkocht: Rijnlaan 79 A 3522 BD Utrecht [funda]","400000","18 juni 2020"
"Verkocht: Verenigingstraat 22 3515 GJ Utrecht [funda]","329000","13 mei 2020"
"Verkocht: St.-Bonifaciusstraat 43 3553 SP Utrecht [funda]","309000","18 juni 2020"
"Verkocht: Roy Eldridgepad 3 3543 GZ Utrecht [funda]","489000","14 mei 2020"
"Verkocht: Volkerakstraat 19 BS 3522 RB Utrecht [funda]","325000","11 mei 2020"
"Verkocht: Beneluxlaan 50 3527 HT Utrecht [funda]","225000","13 mei 2020"
"Verkocht: Amerikalaan 641 3526 VZ Utrecht [funda]","280000","17 april 2020"
"Verkocht: Orchideestraat 17 3551 GH Utrecht [funda]","450000","20 mei 2020"
"Verkocht: Filipijnen 45 3524 JJ Utrecht [funda]","325000","19 juni 2020"
"Verkocht: Waterstraat 15 -15 bis 3511 BW Utrecht [funda]","549000",""
"Verkocht: Eerste Oosterparklaan 96 A 3544 AK Utrecht [funda]","300000","10 juni 2020"
"Verkocht: Klifrakplantsoen 182 3544 RC Utrecht [funda]","350000","15 mei 2020"
"Verkocht: Kapelstraat 2 Bis A 3572 CL Utrecht [funda]","175000","17 juni 2020"
"Verkocht: Jutfaseweg 76 3522 HG Utrecht [funda]","425000","11 mei 2020"
"Verkocht: Van der Pekstraat 54 3555 AW Utrecht [funda]","315000","16 juni 2020"
"Verkocht: De Lessepsstraat 70 3553 RL Utrecht [funda]","279000","22 mei 2020"
"Verkocht: Reinder Blijstralaan 50 3571 AT Utrecht [funda]","499000","20 mei 2020"
"Verkocht: Abeelstraat 23 3552 RC Utrecht [funda]","350000","18 mei 2020"
"Verkocht: J.M. de Muinck Keizerlaan 6 3555 JV Utrecht [funda]","425000","20 mei 2020"
"Verkocht: Valkstraat 15 3514 TG Utrecht [funda]","649000","27 maart 2020"
"Verkocht: St.-Winfridusstraat 45 3553 SB Utrecht [funda]","275000","21 juni 2020"
"Verkocht: Mecklenburglaan 10 3581 NW Utrecht [funda]","875000","16 juni 2020"
"Verkocht: Tweede Oosterparklaan 245 3544 AS Utrecht [funda]","375000","15 juni 2020"
"Verkocht: Herman Modedstraat 31 3553 VK Utrecht [funda]","365000","20 mei 2020"
"Verkocht: J.M. de Muinck Keizerlaan 10 3555 JV Utrecht [funda]","395000","28 mei 2020"
"Verkocht: Arthur van Schendelstraat 597 3511 MP Utrecht [funda]","375000","20 juni 2020"
"Verkocht: Gildstraat 77 3572 EL Utrecht [funda]","525000","11 juni 2020"
"Verkocht: P.C. Borstraat 23 3515 XX Utrecht [funda]","349000","14 mei 2020"
"Verkocht: Willem van Noortstraat 91 3514 GC Utrecht [funda]","575000","10 juni 2020"
"Verkocht: Van Alphenstraat 5 3581 JA Utrecht [funda]","925000","20 mei 2020"
"Verkocht: Guus Vleugelplantsoen 22 3544 HR Utrecht [funda]","435000","16 maart 2020"
"Verkocht: Cremerplein 68 3532 BZ Utrecht [funda]","325000","22 juni 2020"
"Verkocht: Jaffastraat 68 3532 EN Utrecht [funda]","250000","10 april 2020"
