"title","price","sold_at_date"
"Verkocht: Hoofdlaan 39 3051 XE Rotterdam [funda]","375000","15 mei 2020"
"Verkocht: Ruivenplantsoen 98 3036 DJ Rotterdam [funda]","250000",""
"Verkocht: Vlissingenplein 117 3086 GZ Rotterdam [funda]","219500","18 mei 2020"
"Verkocht: Meent 82 a 3011 JN Rotterdam [funda]","289500","15 juni 2020"
"Verkocht: Dalkruidstraat 19 3053 DE Rotterdam [funda]","515000","11 mei 2020"
"Verkocht: Pieter van Aschstraat 42 b 3043 RJ Rotterdam [funda]","300000","25 april 2020"
"Verkocht: Algiersstraat 26 3067 MZ Rotterdam [funda]","225000","24 april 2020"
"Verkocht: IJsselmondselaan 368 3064 AW Rotterdam [funda]","215000",""
"Verkocht: Duivendrechtstraat 7 3089 TD Rotterdam [funda]","240000","20 juni 2020"
"Verkocht: Valkenburgsingel 110 3077 TH Rotterdam [funda]","245500","28 mei 2020"
"Verkocht: Dorpsweg 183 A 3082 LL Rotterdam [funda]","175000","15 mei 2020"
"Verkocht: Strevelsweg 104 C 3075 AN Rotterdam [funda]","219000","25 juni 2020"
"Verkocht: Lena Blok-Woutsstraat 47 3066 GK Rotterdam [funda]","339500","26 mei 2020"
"Verkocht: Beukelsdijk 34 A 3021 AH Rotterdam [funda]","539000","10 april 2020"
"Verkocht: Balkenstraat 28 b 3027 GA Rotterdam [funda]","298500","10 juni 2020"
"Verkocht: Zernikeplaats 82 3068 ZL Rotterdam [funda]","200000","22 juni 2020"
"Verkocht: Ruivenplantsoen 42 3036 DJ Rotterdam [funda]","265000","24 april 2020"
"Verkocht: Beumershoek 12 3085 EA Rotterdam [funda]","169000",""
"Verkocht: Bredenoord 189 3079 JD Rotterdam [funda]","175000","17 april 2020"
"Verkocht: Bergselaan 386 b 3038 CT Rotterdam [funda]","239000","25 mei 2020"
"Verkocht: Prinses Margrietlaan 28 a 3051 AV Rotterdam [funda]","450000","16 juni 2020"
"Verkocht: Madeliefstraat 31 b 3083 TC Rotterdam [funda]","199500","11 juni 2020"
"Verkocht: Tongelaarweg 34 3077 TD Rotterdam [funda]","250000","25 juni 2020"
"Verkocht: Halfrond 66 3071 PP Rotterdam [funda]","325000","12 juni 2020"
"Verkocht: Engelsestraat 61 B 3028 CC Rotterdam [funda]","175000","29 april 2020"
"Verkocht: Bierstraat 273 3011 XA Rotterdam [funda]","419000","25 mei 2020"
"Verkocht: Boekenrode 46 3085 JJ Rotterdam [funda]","150000","20 mei 2020"
"Verkocht: Zocherstraat 43 3067 AS Rotterdam [funda]","189000","18 april 2020"
"Verkocht: Hekbootstraat 9 a 3028 XD Rotterdam [funda]","175000","14 mei 2020"
"Verkocht: Wilhelminakade 273 3072 AP Rotterdam [funda]","350000","15 mei 2020"
"Verkocht: Polslandstraat 174 C 3081 TX Rotterdam [funda]","135000","18 juni 2020"
"Verkocht: Boezemkade 265 3031 BB Rotterdam [funda]","365000","19 mei 2020"
"Verkocht: Katendrechtse Lagedijk 364 a 3083 GP Rotterdam [funda]","175000","21 mei 2020"
"Verkocht: Breitnerstraat 83 C 3015 XD Rotterdam [funda]","525000",""
"Verkocht: Breedveldsingel 22 3055 PK Rotterdam [funda]","535000","23 juni 2020"
"Verkocht: Putselaan 216 B 3073 JM Rotterdam [funda]","165000","16 juni 2020"
"Verkocht: Vredehofweg 36 BL 3062 EP Rotterdam [funda]","575000","15 juni 2020"
"Verkocht: Rilland Bathstraat 46 3086 SN Rotterdam [funda]","309500","29 april 2020"
"Verkocht: Burgemeester Bosstraat 29 3043 TA Rotterdam [funda]","250000","20 mei 2020"
"Verkocht: Hommelstraat 6 B01 3061 VB Rotterdam [funda]","350000","29 mei 2020"
"Verkocht: Spoorsingel 91 3033 GJ Rotterdam [funda]","250000",""
"Verkocht: Wijnhaven 73 F 3011 WK Rotterdam [funda]","600000","20 mei 2020"
"Verkocht: Naardermeer 341 3068 KH Rotterdam [funda]","300000","22 februari 2020"
"Verkocht: Nobelstraat 93 a2 3039 SK Rotterdam [funda]","325000","23 juni 2020"
"Verkocht: Fluitstraat 12 a 3028 VE Rotterdam [funda]","195000","29 mei 2020"
"Verkocht: Blauwgras 67 3068 BB Rotterdam [funda]","275000","22 juni 2020"
"Verkocht: Jeruzalemstraat 20 B 3061 GN Rotterdam [funda]","700000","23 juni 2020"
"Verkocht: Fats Wallerhof 16 3069 PZ Rotterdam [funda]","300000","15 mei 2020"
"Verkocht: Harseveld 2 3085 BB Rotterdam [funda]","360000","16 januari 2020"
"Verkocht: Wallisweg 12 b1 3027 GW Rotterdam [funda]","250000","18 juni 2020"
"Verkocht: Moermanskpad 28 3067 DG Rotterdam [funda]","309500","15 juni 2020"
"Verkocht: Jan Kleingeldstraat 68 3075 PR Rotterdam [funda]","375000","18 juni 2020"
"Verkocht: Piraeuserf 7 3067 WT Rotterdam [funda]","300000","15 mei 2020"
"Verkocht: Antilopestraat 26 3064 LB Rotterdam [funda]","189000","18 juni 2020"
"Verkocht: Dorpsweg 181 A 3082 LL Rotterdam [funda]","200000","15 mei 2020"
"Verkocht: Noorderhavenkade 120 b2 3038 XS Rotterdam [funda]","259000","25 mei 2020"
"Verkocht: Tweelingenstraat 88 3067 KZ Rotterdam [funda]","159000","15 mei 2020"
"Verkocht: Vosmaerstraat 7 a 3027 KJ Rotterdam [funda]","340000","15 juni 2020"
"Verkocht: Paetsstraat 31 C 3039 XN Rotterdam [funda]","425000","16 mei 2020"
"Verkocht: Karel Doormanstraat 89 3012 GD Rotterdam [funda]","375000","18 mei 2020"
